task,class_id,label,count,pct
actionId,15,serve_trad,1,1.4344732614184072e-05
actionId,16,serve_hook,1,1.4344732614184072e-05
actionId,8,arch,372,0.005336240532476474
actionId,14,lob,613,0.008793321092494836
actionId,9,block_chop,794,0.011389717695662153
actionId,7,flick,1413,0.020269107183842092
actionId,0,other,2050,0.029406701859077348
actionId,3,smash,2129,0.03053993573559789
actionId,4,banana,2638,0.03784140463621758
actionId,11,short_push,3522,0.0505221482671563
pointId,3,BH_short,203,0.0029119807206793667
pointId,1,FH_short,582,0.00834863438145513
pointId,2,mid_short,1920,0.027541886619233416
pointId,4,FH_half,2995,0.04296247417948129
pointId,6,BH_half,4583,0.0657419095708056
pointId,5,mid_half,6585,0.09446006426440211
pointId,7,FH_long,9122,0.1308526509065871
pointId,8,mid_long,12386,0.1776738581592839
pointId,0,off_grid,15263,0.2189436538902915
pointId,9,BH_long,16073,0.23056288730778057
