sn_bucket,actionId,count,pct_within_bucket
13+,0,144,0.030456852791878174
13+,1,823,0.17406937394247038
13+,2,376,0.07952622673434856
13+,3,351,0.07423857868020305
13+,4,1,0.00021150592216582064
13+,5,215,0.04547377326565144
13+,6,234,0.04949238578680203
13+,7,3,0.0006345177664974619
13+,8,19,0.004018612521150592
13+,9,41,0.008671742808798646
13+,10,1058,0.22377326565143824
13+,11,148,0.031302876480541454
13+,12,841,0.17787648054145516
13+,13,342,0.07233502538071065
13+,14,132,0.027918781725888325
2,0,50,0.003334444814938313
2,1,2643,0.1762587529176392
2,3,91,0.0060686895631877295
2,4,2291,0.1527842614204735
2,6,717,0.0478159386462154
2,7,938,0.06255418472824274
2,8,124,0.008269423141047016
2,9,231,0.015405135045015004
2,10,5099,0.34004668222740914
2,11,2157,0.14384794931643882
2,12,653,0.04354784928309437
2,15,1,6.668889629876625e-05
3-4,0,691,0.029196771876452445
3-4,1,6447,0.2724046140195209
3-4,2,2361,0.09975915832171378
3-4,3,565,0.0238729031985465
3-4,4,318,0.013436430472810242
3-4,5,1687,0.07128068618751848
3-4,6,2551,0.10778721426458782
3-4,7,417,0.01761947014830777
3-4,8,146,0.006168927198208476
3-4,9,271,0.011450542950099294
3-4,10,2862,0.12092787425529218
3-4,11,819,0.03460514640638864
3-4,12,998,0.04216842016309629
3-4,13,3469,0.14657540034647398
3-4,14,65,0.0027464401909832255
5-8,0,900,0.0448318804483188
5-8,1,4314,0.21489414694894146
5-8,2,2741,0.13653798256537983
5-8,3,773,0.03850560398505604
5-8,4,27,0.001344956413449564
5-8,5,1839,0.09160647571606476
5-8,6,2517,0.12537982565379827
5-8,7,50,0.0024906600249066002
5-8,8,69,0.0034371108343711084
5-8,9,199,0.00991282689912827
5-8,10,1473,0.07337484433374844
5-8,11,275,0.0136986301369863
5-8,12,1357,0.06759651307596513
5-8,13,3283,0.16353673723536738
5-8,14,257,0.012801992528019925
5-8,16,1,4.9813200498132005e-05
9-12,0,265,0.042420361773651355
9-12,1,1208,0.1933728189530975
9-12,2,861,0.13782615655514646
9-12,3,349,0.055866816071714426
9-12,4,1,0.00016007683688170322
9-12,5,451,0.07219465343364816
9-12,6,616,0.09860733151912918
9-12,7,5,0.0008003841844085161
9-12,8,14,0.002241075716343845
9-12,9,52,0.008323995517848567
9-12,10,716,0.1146150152072995
9-12,11,123,0.019689450936449495
9-12,12,673,0.10773171122138626
9-12,13,754,0.12069793500880423
9-12,14,159,0.02545221706419081
