sn_bucket,pointId,count,pct_within_bucket
13+,0,813,0.17195431472081218
13+,1,16,0.00338409475465313
13+,2,97,0.020516074450084604
13+,3,18,0.0038071065989847717
13+,4,349,0.0738155668358714
13+,5,617,0.13049915397631134
13+,6,720,0.15228426395939088
13+,7,569,0.12034686971235195
13+,8,720,0.15228426395939088
13+,9,809,0.1711082910321489
2,0,1911,0.12744248082694232
2,1,367,0.024474824941647214
2,2,1130,0.07535845281760586
2,3,102,0.006802267422474158
2,4,931,0.06208736245415138
2,5,1951,0.13011003667889295
2,6,1132,0.0754918306102034
2,7,1393,0.09289763254418139
2,8,2396,0.15978659553184396
2,9,3682,0.24554851617205736
3-4,0,5734,0.24227827777073563
3-4,1,143,0.006042168420163097
3-4,2,477,0.020154645709215362
3-4,3,46,0.001943634596695821
3-4,4,759,0.03206997084548105
3-4,5,1938,0.08188617061731525
3-4,6,1047,0.0442388135378375
3-4,7,3397,0.14353318967338488
3-4,8,4379,0.18502556302023915
3-4,9,5747,0.24282756580893228
5-8,0,5382,0.26809464508094644
5-8,1,35,0.0017434620174346202
5-8,2,151,0.007521793275217932
5-8,3,26,0.0012951432129514322
5-8,4,669,0.03332503113325031
5-8,5,1466,0.07302615193026152
5-8,6,1118,0.05569115815691158
5-8,7,2940,0.14645080946450809
5-8,8,3756,0.1870983810709838
5-8,9,4532,0.22575342465753426
9-12,0,1423,0.22778933888266367
9-12,1,21,0.0033616135745157677
9-12,2,65,0.01040499439731071
9-12,3,11,0.0017608452056987354
9-12,4,287,0.04594205218504882
9-12,5,613,0.09812710100848407
9-12,6,566,0.09060348967504402
9-12,7,823,0.13174323675364175
9-12,8,1135,0.18168720986073314
9-12,9,1303,0.20858011845685928
