actionId,pointId,count,pct
1,9,4780,0.06856782189579987
1,8,3279,0.04703637824190957
13,0,3244,0.04653431260041313
1,7,2935,0.04210179022263025
1,0,2776,0.03982097773697498
10,6,2384,0.03419784255221483
10,9,2112,0.03029607528115676
0,0,2046,0.02934932292862061
6,9,1921,0.0275562313518476
10,5,1895,0.027183268303878814
2,0,1745,0.025031558411751205
10,8,1604,0.023008951113151252
2,9,1556,0.022320403947670417
6,8,1552,0.02226302501721368
13,8,1519,0.021789648840945603
6,0,1389,0.019924833601101675
13,9,1385,0.01986745467064494
5,9,1328,0.019049804911636447
2,8,1238,0.01775877897635988
11,2,1203,0.01725671333486344
10,4,1131,0.016223892586642186
2,7,1059,0.015191071838420932
6,7,1039,0.01490417718613725
5,0,1037,0.014875487720908883
4,9,993,0.014244319485884784
12,5,898,0.012881569887537296
1,5,869,0.012465572641725958
11,5,860,0.012336470048198302
5,8,859,0.012322125315584118
12,8,778,0.011160201973835208
10,7,768,0.011016754647693368
10,0,753,0.010801583658480605
5,7,657,0.009424489327518935
3,9,650,0.009324076199219647
13,5,649,0.009309731466605463
12,9,635,0.009108905210006886
13,7,608,0.008721597429423916
4,8,606,0.008692907964195548
12,7,592,0.008492081707596971
3,7,590,0.008463392242368603
12,6,528,0.00757401882028919
12,0,480,0.006885471654808354
3,0,467,0.006698990130823961
12,4,457,0.0065555428046821206
11,4,456,0.0065411980720679365
2,5,431,0.006182579756713335
4,0,429,0.006153890291484967
1,6,426,0.006110856093642415
11,1,417,0.005981753500114758
10,2,402,0.005766582510901997
7,9,391,0.005608790452145972
6,5,378,0.005422308928161579
4,7,358,0.005135414275877897
3,8,310,0.004446867110397062
7,0,289,0.004145627725499197
11,0,269,0.0038587330732155153
1,4,263,0.003772664677530411
7,8,262,0.003758319944916227
7,7,238,0.003414046362175809
13,6,226,0.0032419095708056
6,6,219,0.0031414964425063117
14,8,166,0.002381225613954556
2,6,160,0.0022951572182694515
14,0,159,0.0022808124856552674
13,4,152,0.002180399357355979
9,6,148,0.0021230204268992427
4,5,147,0.0021086756942850587
11,6,145,0.0020799862290566905
9,9,128,0.0018361257746155612
2,4,123,0.001764402111544641
5,5,121,0.0017357126463162726
6,4,121,0.0017357126463162726
9,0,121,0.0017357126463162726
12,2,117,0.0016783337158595363
9,8,116,0.0016639889832453523
9,5,115,0.0016496442506311682
7,5,112,0.001606610052788616
5,6,108,0.0015492311223318797
10,1,105,0.0015061969244893276
8,9,93,0.0013340601331191186
14,7,85,0.001219302272205646
9,7,85,0.001219302272205646
11,3,83,0.001190612806977278
8,7,79,0.0011332338765205417
1,2,78,0.0011188891439063576
14,9,78,0.0011188891439063576
7,6,75,0.0010758549460638054
5,4,73,0.0010471654808354373
9,4,68,0.0009754418177645169
4,6,68,0.0009754418177645169
8,8,60,0.0008606839568510443
8,0,58,0.0008319944916226761
14,5,55,0.0007889602937801239
10,3,54,0.0007746155611659399
13,2,52,0.0007459260959375717
3,4,43,0.0006168235024099151
3,6,37,0.0005307551067248107
11,8,37,0.0005307551067248107
7,4,36,0.0005164103741106266
8,6,35,0.0005020656414964426
11,7,29,0.00041599724581133806
3,5,29,0.00041599724581133806
14,4,27,0.00038730778058296994
8,5,26,0.00037296304796878587
4,4,25,0.0003586183153546018
14,6,24,0.00034427358274041774
11,9,23,0.0003299288501262336
12,3,20,0.00028689465228368144
1,3,20,0.00028689465228368144
2,2,19,0.00027254991966949737
8,4,19,0.00027254991966949737
12,1,17,0.00024386045444112922
6,2,11,0.00015779205875602478
14,2,10,0.00014344732614184072
1,1,9,0.00012910259352765665
9,2,8,0.00011475786091347258
13,1,8,0.00011475786091347258
4,2,7,0.0001004131282992885
14,1,5,7.172366307092036e-05
2,1,5,7.172366307092036e-05
7,2,5,7.172366307092036e-05
13,3,5,7.172366307092036e-05
5,2,4,5.737893045673629e-05
9,1,4,5.737893045673629e-05
14,3,4,5.737893045673629e-05
7,1,4,5.737893045673629e-05
4,3,4,5.737893045673629e-05
2,3,3,4.303419784255222e-05
6,3,3,4.303419784255222e-05
5,1,3,4.303419784255222e-05
0,2,2,2.8689465228368144e-05
3,3,2,2.8689465228368144e-05
5,3,2,2.8689465228368144e-05
6,1,2,2.8689465228368144e-05
0,4,1,1.4344732614184072e-05
0,3,1,1.4344732614184072e-05
8,1,1,1.4344732614184072e-05
8,2,1,1.4344732614184072e-05
7,3,1,1.4344732614184072e-05
4,1,1,1.4344732614184072e-05
3,2,1,1.4344732614184072e-05
9,3,1,1.4344732614184072e-05
15,1,1,1.4344732614184072e-05
16,0,1,1.4344732614184072e-05
